epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1014,2.14955,3.19055,1.62104,0.2359,0.07691,0.08711,0.02765,2.46404,2.94441,1.62858,0.000472003,0.000472003,0.000472003
2,46.9246,2.07996,2.49767,1.54218,0.24854,0.24653,0.17583,0.05286,2.41084,2.56258,1.84355,0.000942077,0.000942077,0.000942077
3,65.3895,2.06525,2.26059,1.53275,0.32911,0.20722,0.16499,0.04995,2.44322,2.59785,1.7709,0.00140586,0.00140586,0.00140586
4,82.8371,2.04796,2.09202,1.49249,0.25599,0.2867,0.19772,0.07846,2.30817,2.47364,1.68944,0.00140071,0.00140071,0.00140071
5,100.585,2.02383,2.05108,1.5015,0.36817,0.39788,0.27362,0.10046,2.24972,2.44148,1.64615,0.00139127,0.00139127,0.00139127
6,118.643,1.97159,1.93263,1.45703,0.4172,0.39844,0.3286,0.13462,2.15252,2.24241,1.59908,0.00138184,0.00138184,0.00138184
7,136.566,1.93638,1.86085,1.44873,0.39493,0.42727,0.3395,0.13328,2.28474,2.15268,1.67508,0.00137241,0.00137241,0.00137241
8,154.41,1.90865,1.7747,1.41996,0.61044,0.26617,0.29622,0.09963,2.30861,2.43435,1.66822,0.00136298,0.00136298,0.00136298
9,171.742,1.90203,1.79069,1.42429,0.48092,0.43789,0.40015,0.15703,2.22412,2.0727,1.66531,0.00135355,0.00135355,0.00135355
10,189.619,1.89315,1.75103,1.38646,0.40661,0.40718,0.35174,0.15517,2.26424,2.17236,1.58477,0.00134412,0.00134412,0.00134412
11,206.74,1.83073,1.73415,1.42234,0.47687,0.422,0.39814,0.16512,2.17218,2.03054,1.60002,0.00133469,0.00133469,0.00133469
12,224.793,1.86397,1.74903,1.41016,0.42184,0.44634,0.35618,0.14887,2.20254,2.09183,1.55815,0.00132525,0.00132525,0.00132525
13,242.208,1.87985,1.68233,1.36137,0.51423,0.46715,0.44354,0.17892,2.08419,1.91011,1.51387,0.00131582,0.00131582,0.00131582
14,259.718,1.83471,1.65243,1.38987,0.50448,0.39187,0.41205,0.18131,2.12051,2.0909,1.5153,0.00130639,0.00130639,0.00130639
15,277.481,1.82252,1.6359,1.37345,0.55173,0.43342,0.42964,0.15501,2.13972,1.98978,1.55577,0.00129696,0.00129696,0.00129696
16,294.764,1.81894,1.61118,1.3675,0.54313,0.42644,0.42813,0.17377,2.17126,2.08426,1.59641,0.00128753,0.00128753,0.00128753
17,312.568,1.80614,1.5854,1.32923,0.52432,0.45374,0.42443,0.18378,2.22537,2.05184,1.55607,0.0012781,0.0012781,0.0012781
18,329.601,1.75936,1.5698,1.35346,0.49188,0.48129,0.43233,0.1877,2.14312,2.07419,1.5665,0.00126867,0.00126867,0.00126867
19,347.771,1.80353,1.53409,1.33257,0.50541,0.43229,0.41216,0.17127,2.17821,2.0349,1.54072,0.00125923,0.00125923,0.00125923
20,364.979,1.76876,1.5256,1.33044,0.5008,0.42643,0.42402,0.18663,2.15055,1.97361,1.54056,0.0012498,0.0012498,0.0012498
21,382.906,1.76308,1.48275,1.33228,0.5567,0.41044,0.44125,0.1802,2.1507,2.11786,1.52624,0.00124037,0.00124037,0.00124037
22,400.695,1.74275,1.48855,1.32301,0.56097,0.46357,0.4983,0.22444,2.17235,1.96762,1.54792,0.00123094,0.00123094,0.00123094
23,418.699,1.76675,1.48217,1.30065,0.56616,0.51119,0.5001,0.22479,2.09482,1.87574,1.48628,0.00122151,0.00122151,0.00122151
