epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7219,2.19855,4.98433,1.69671,0.22545,0.13772,0.11582,0.03406,2.50371,4.27779,1.87443,0.000472003,0.000472003,0.000472003
2,71.8631,2.10306,3.92883,1.57678,0.20188,0.2585,0.13274,0.04226,2.40104,4.12254,1.81659,0.000942077,0.000942077,0.000942077
3,93.3172,2.11376,3.71919,1.60313,0.19289,0.22938,0.12041,0.04048,2.36214,5.08505,1.75644,0.00140586,0.00140586,0.00140586
4,112.117,2.08302,3.39555,1.54929,0.50499,0.22784,0.23152,0.08368,2.37171,3.7615,1.79395,0.00140071,0.00140071,0.00140071
5,139.616,2.06022,3.32715,1.59877,0.33282,0.35597,0.23807,0.081,2.39314,3.65017,1.86961,0.00139127,0.00139127,0.00139127
6,165.126,2.02677,3.13758,1.50809,0.38096,0.42669,0.29983,0.10498,2.32106,3.28168,1.72499,0.00138184,0.00138184,0.00138184
7,195.486,1.98015,3.04716,1.5022,0.49748,0.36846,0.34069,0.12001,2.25838,3.23919,1.72258,0.00137241,0.00137241,0.00137241
8,218.197,1.98049,2.91549,1.4877,0.37422,0.42718,0.38343,0.14919,2.23251,3.02665,1.65862,0.00136298,0.00136298,0.00136298
9,238.076,1.94242,2.91085,1.47999,0.37404,0.38846,0.32718,0.10978,2.28555,3.34446,1.67687,0.00135355,0.00135355,0.00135355
10,259.619,1.94025,2.84337,1.45951,0.4024,0.42124,0.30128,0.12513,2.34345,3.68588,1.70004,0.00134412,0.00134412,0.00134412
11,278.933,1.8903,2.7714,1.48687,0.2753,0.40772,0.28736,0.10236,2.19614,3.24102,1.61648,0.00133469,0.00133469,0.00133469
12,299.721,1.89741,2.81056,1.458,0.35253,0.35218,0.26843,0.09312,2.3013,3.74933,1.71134,0.00132525,0.00132525,0.00132525
13,320.37,1.93077,2.76374,1.43506,0.4986,0.46993,0.42631,0.17114,2.14833,3.0274,1.56763,0.00131582,0.00131582,0.00131582
14,341.989,1.89328,2.72393,1.43625,0.50888,0.45478,0.44328,0.17496,2.19489,3.03815,1.6085,0.00130639,0.00130639,0.00130639
15,360.982,1.88279,2.6885,1.42076,0.40945,0.48401,0.41813,0.15217,2.15373,3.06947,1.58222,0.00129696,0.00129696,0.00129696
16,382.889,1.88063,2.66219,1.4353,0.46603,0.48665,0.43549,0.16692,2.16515,2.97864,1.61459,0.00128753,0.00128753,0.00128753
17,411.494,1.87711,2.61399,1.4,0.52371,0.43362,0.40158,0.17151,2.15686,2.96753,1.57494,0.0012781,0.0012781,0.0012781
18,439.447,1.83243,2.58294,1.41191,0.50133,0.48688,0.45961,0.17936,2.18516,3.10658,1.58757,0.00126867,0.00126867,0.00126867
19,458.948,1.87197,2.56075,1.39648,0.54978,0.43254,0.43585,0.16933,2.14957,2.89451,1.55482,0.00125923,0.00125923,0.00125923
20,479.496,1.84716,2.56114,1.40113,0.44601,0.42495,0.40867,0.17757,2.17338,3.00611,1.57114,0.0012498,0.0012498,0.0012498
21,501.653,1.84056,2.50302,1.39709,0.53638,0.46366,0.45261,0.17671,2.17156,2.94852,1.59139,0.00124037,0.00124037,0.00124037
22,522.136,1.83262,2.484,1.39017,0.52481,0.44716,0.46784,0.19571,2.22877,2.98923,1.61455,0.00123094,0.00123094,0.00123094
23,541.169,1.84762,2.41799,1.35739,0.55865,0.4627,0.4509,0.19531,2.10539,2.96114,1.54509,0.00122151,0.00122151,0.00122151
24,560.673,1.81305,2.49073,1.39071,0.58943,0.45713,0.47072,0.19183,2.12457,2.77006,1.5431,0.00121208,0.00121208,0.00121208
25,582.12,1.81617,2.47187,1.39279,0.58282,0.50804,0.52453,0.22185,2.11352,2.80699,1.56263,0.00120265,0.00120265,0.00120265
26,602.922,1.8062,2.44596,1.37393,0.44613,0.44863,0.40711,0.14978,2.17638,2.99705,1.56387,0.00119322,0.00119322,0.00119322
27,622.304,1.79382,2.39101,1.35369,0.47314,0.44109,0.41331,0.16523,2.18593,3.05016,1.57,0.00118378,0.00118378,0.00118378
28,643.197,1.77932,2.43162,1.36816,0.59998,0.51215,0.5326,0.23057,2.0638,2.79834,1.52404,0.00117435,0.00117435,0.00117435
29,665.546,1.76993,2.37811,1.38391,0.59391,0.44734,0.46745,0.19767,2.14625,2.85894,1.57696,0.00116492,0.00116492,0.00116492
30,689.464,1.77529,2.3532,1.37727,0.54179,0.4464,0.45117,0.18664,2.16909,3.10539,1.5915,0.00115549,0.00115549,0.00115549
31,709.243,1.76053,2.38386,1.368,0.58417,0.51158,0.50588,0.21539,2.07719,2.82805,1.53228,0.00114606,0.00114606,0.00114606
32,730.174,1.78267,2.39102,1.37245,0.52117,0.48111,0.4469,0.17918,2.15487,2.94963,1.6169,0.00113663,0.00113663,0.00113663
33,750.892,1.75786,2.31409,1.36364,0.47934,0.49819,0.45808,0.20553,2.17044,2.92065,1.55713,0.0011272,0.0011272,0.0011272
34,770.191,1.75801,2.31495,1.33477,0.55233,0.44504,0.45411,0.19452,2.15307,3.03426,1.57489,0.00111776,0.00111776,0.00111776
35,793.375,1.77706,2.28906,1.33651,0.57516,0.50983,0.50529,0.19636,2.15879,2.70584,1.55989,0.00110833,0.00110833,0.00110833
36,813.92,1.75638,2.26358,1.36177,0.48943,0.46582,0.43666,0.17715,2.08769,2.80421,1.52497,0.0010989,0.0010989,0.0010989
37,832.258,1.74848,2.19131,1.32054,0.53713,0.48453,0.4574,0.17204,2.17475,2.76899,1.59269,0.00108947,0.00108947,0.00108947
38,862.943,1.77946,2.26339,1.31408,0.50258,0.48013,0.46556,0.18073,2.1881,2.8239,1.63441,0.00108004,0.00108004,0.00108004
39,884.003,1.75673,2.25124,1.32881,0.60059,0.46633,0.50595,0.20667,2.11217,2.70579,1.57524,0.00107061,0.00107061,0.00107061
40,907.139,1.74405,2.24161,1.35146,0.56002,0.48738,0.51496,0.20468,2.121,2.71607,1.56799,0.00106118,0.00106118,0.00106118
41,927.393,1.75503,2.16901,1.30912,0.60943,0.45476,0.48091,0.21081,2.1447,2.95538,1.54597,0.00105174,0.00105174,0.00105174
42,952.274,1.70321,2.1235,1.30534,0.53971,0.50672,0.4981,0.20072,2.16558,2.78519,1.5503,0.00104231,0.00104231,0.00104231
43,971.509,1.7148,2.15567,1.31148,0.60087,0.52693,0.55273,0.20988,2.08753,2.7185,1.55372,0.00103288,0.00103288,0.00103288
44,990.963,1.71421,2.14594,1.31205,0.54245,0.47408,0.45441,0.18563,2.16362,2.74984,1.50384,0.00102345,0.00102345,0.00102345
45,1012.94,1.72696,2.15723,1.31933,0.60887,0.5021,0.50691,0.2043,2.172,2.6762,1.59683,0.00101402,0.00101402,0.00101402
46,1031.99,1.69249,2.06728,1.28397,0.59203,0.4947,0.4948,0.20004,2.15535,2.76782,1.56339,0.00100459,0.00100459,0.00100459
47,1051.01,1.73537,2.12701,1.28357,0.61103,0.44766,0.50674,0.21624,2.10134,2.81045,1.52698,0.000995156,0.000995156,0.000995156
48,1072.41,1.70803,2.11144,1.29111,0.56334,0.50084,0.49671,0.19769,2.18131,2.79744,1.57567,0.000985724,0.000985724,0.000985724
49,1092.24,1.74866,2.1279,1.29244,0.48167,0.49958,0.45603,0.17843,2.25104,2.83949,1.58886,0.000976293,0.000976293,0.000976293
50,1111.76,1.72296,2.11274,1.29838,0.58663,0.46065,0.48515,0.19943,2.19672,2.87312,1.58755,0.000966861,0.000966861,0.000966861
51,1132.64,1.68827,2.07337,1.30267,0.6159,0.52801,0.53828,0.22291,2.16855,2.6686,1.55617,0.00095743,0.00095743,0.00095743
52,1152.18,1.7142,2.08211,1.29751,0.61849,0.51503,0.52992,0.22199,2.15167,2.92158,1.56148,0.000947999,0.000947999,0.000947999
53,1172.05,1.7007,2.04644,1.2823,0.68178,0.49186,0.54176,0.22389,2.24512,2.79741,1.59078,0.000938567,0.000938567,0.000938567
54,1193.11,1.68823,2.02899,1.28533,0.58303,0.52237,0.526,0.22414,2.13321,2.73609,1.52835,0.000929136,0.000929136,0.000929136
55,1219.26,1.6828,1.99258,1.286,0.61393,0.50762,0.52512,0.20726,2.20121,2.70509,1.56855,0.000919704,0.000919704,0.000919704
56,1239.64,1.64557,2.00222,1.2772,0.64794,0.48016,0.53477,0.21976,2.17614,2.75819,1.57136,0.000910273,0.000910273,0.000910273
57,1259.56,1.685,2.00756,1.26806,0.52466,0.53669,0.5121,0.21121,2.18017,2.76701,1.59799,0.000900842,0.000900842,0.000900842
58,1284.38,1.6649,1.99684,1.28932,0.59812,0.51462,0.53034,0.22314,2.14322,2.70409,1.50572,0.00089141,0.00089141,0.00089141
59,1304.95,1.6777,2.03512,1.27954,0.57304,0.46368,0.48683,0.20357,2.14578,2.72687,1.53164,0.000881979,0.000881979,0.000881979
60,1325.81,1.67453,1.98312,1.27334,0.60941,0.47912,0.50551,0.21298,2.16082,2.77091,1.57728,0.000872547,0.000872547,0.000872547
61,1349.14,1.666,1.9994,1.28977,0.58791,0.513,0.51919,0.20806,2.21966,2.8209,1.55098,0.000863116,0.000863116,0.000863116
62,1367.58,1.66282,1.94271,1.26219,0.57704,0.56164,0.55751,0.23853,2.10844,2.60049,1.5064,0.000853685,0.000853685,0.000853685
63,1388.23,1.66155,1.94016,1.2656,0.53915,0.49366,0.47324,0.1968,2.21913,2.90788,1.62268,0.000844253,0.000844253,0.000844253
64,1407.68,1.65904,1.92788,1.26863,0.62251,0.45627,0.51373,0.22629,2.18587,2.82949,1.52422,0.000834822,0.000834822,0.000834822
65,1428.96,1.65454,1.92686,1.26036,0.64837,0.51003,0.52866,0.22965,2.1866,2.69362,1.56561,0.00082539,0.00082539,0.00082539
66,1449.45,1.63195,1.92384,1.26381,0.58902,0.52866,0.51096,0.20976,2.28164,2.86913,1.6074,0.000815959,0.000815959,0.000815959
67,1468.88,1.64978,1.89906,1.26541,0.60902,0.47639,0.49666,0.21147,2.16106,2.82,1.53557,0.000806528,0.000806528,0.000806528
