epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.174,2.2002,4.99978,1.7038,0.23801,0.1818,0.14292,0.04763,2.40194,4.42154,1.73315,0.000472003,0.000472003,0.000472003
2,70.6667,2.09473,3.92119,1.58567,0.19515,0.25033,0.10313,0.03464,2.45274,7.60509,1.81809,0.000942077,0.000942077,0.000942077
3,92.6542,2.08327,3.70587,1.59181,0.17807,0.28313,0.11339,0.04047,2.39657,4.47528,1.84325,0.00140586,0.00140586,0.00140586
4,113.245,2.07895,3.40446,1.55566,0.22694,0.27427,0.14128,0.05239,2.34246,4.03031,1.7989,0.00140071,0.00140071,0.00140071
5,136.689,2.05768,3.38463,1.58925,0.47482,0.3883,0.34057,0.1183,2.26353,3.5735,1.66578,0.00139127,0.00139127,0.00139127
6,168.156,2.02788,3.13449,1.51483,0.34879,0.31698,0.25673,0.07193,2.40415,3.57533,1.821,0.00138184,0.00138184,0.00138184
7,199.02,1.96183,3.05491,1.51535,0.32086,0.35746,0.25463,0.08608,2.3115,3.5332,1.65678,0.00137241,0.00137241,0.00137241
8,222.249,1.96173,2.95931,1.49248,0.39829,0.31648,0.27272,0.09454,2.36554,3.67275,1.78768,0.00136298,0.00136298,0.00136298
9,241.582,1.93122,2.91518,1.47728,0.4147,0.40761,0.35079,0.13321,2.26136,3.32098,1.67301,0.00135355,0.00135355,0.00135355
10,264.452,1.94411,2.85297,1.46944,0.39439,0.45279,0.36818,0.14107,2.22872,3.19591,1.62601,0.00134412,0.00134412,0.00134412
11,286.448,1.87821,2.78823,1.4926,0.45818,0.3955,0.33982,0.11715,2.29416,3.05538,1.72389,0.00133469,0.00133469,0.00133469
12,308.445,1.89341,2.82096,1.46226,0.43031,0.42106,0.3119,0.10303,2.2186,3.47858,1.62936,0.00132525,0.00132525,0.00132525
13,337.739,1.91592,2.78463,1.43571,0.4612,0.46546,0.43469,0.17145,2.12982,2.97845,1.59398,0.00131582,0.00131582,0.00131582
14,360.267,1.88088,2.74662,1.44907,0.51906,0.44577,0.46783,0.18863,2.12482,2.95407,1.57297,0.00130639,0.00130639,0.00130639
15,383.708,1.8821,2.70967,1.4354,0.48354,0.48372,0.42904,0.17189,2.14855,3.03628,1.57847,0.00129696,0.00129696,0.00129696
16,408.027,1.87199,2.67246,1.44975,0.54203,0.47874,0.4545,0.17063,2.16309,3.08983,1.59208,0.00128753,0.00128753,0.00128753
17,436.939,1.8759,2.63229,1.41791,0.47182,0.43067,0.41138,0.17027,2.22591,2.91711,1.61417,0.0012781,0.0012781,0.0012781
18,463.605,1.82166,2.57362,1.42571,0.61118,0.452,0.48605,0.18543,2.1446,3.00459,1.60547,0.00126867,0.00126867,0.00126867
19,483.57,1.86658,2.53886,1.39505,0.44749,0.50145,0.43721,0.17596,2.19623,2.93348,1.57415,0.00125923,0.00125923,0.00125923
20,506.628,1.82892,2.5996,1.41749,0.50884,0.45243,0.41994,0.17377,2.13089,2.83677,1.54135,0.0012498,0.0012498,0.0012498
21,527.512,1.82724,2.53113,1.40285,0.55344,0.43295,0.44356,0.17966,2.14229,2.82681,1.56488,0.00124037,0.00124037,0.00124037
22,546.879,1.81607,2.4717,1.40304,0.54199,0.50219,0.49275,0.19892,2.18413,2.68538,1.66189,0.00123094,0.00123094,0.00123094
23,568.691,1.82584,2.45143,1.36669,0.5,0.49998,0.46971,0.19535,2.07558,2.8036,1.53996,0.00122151,0.00122151,0.00122151
24,591.883,1.80379,2.49555,1.39693,0.5421,0.47103,0.45277,0.17502,2.14014,2.84269,1.57104,0.00121208,0.00121208,0.00121208
25,612.897,1.79398,2.4588,1.3867,0.57277,0.47491,0.48171,0.20068,2.10777,3.01691,1.56386,0.00120265,0.00120265,0.00120265
26,634.679,1.79226,2.43959,1.3938,0.51309,0.47318,0.45594,0.17574,2.16673,2.81723,1.57283,0.00119322,0.00119322,0.00119322
27,657.677,1.78601,2.40883,1.36177,0.50331,0.45884,0.44708,0.19575,2.11053,2.92691,1.52045,0.00118378,0.00118378,0.00118378
